"","PassengerId","Survived","Pclass","Name"
"NA",NA,NA,NA,NA
"NA.1",NA,NA,NA,NA
"NA.2",NA,NA,NA,NA
"49",940,1,1,"Bucknell, Mrs. William Robert (Emma Eliza Ward)"
"NA.3",NA,NA,NA,NA
"70",961,1,1,"Fortune, Mrs. Mark (Mary McDougald)"
"78",969,1,1,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)"
"NA.4",NA,NA,NA,NA
"97",988,1,1,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)"
"NA.5",NA,NA,NA,NA
"115",1006,1,1,"Straus, Mrs. Isidor (Rosalie Ida Blun)"
"NA.6",NA,NA,NA,NA
"NA.7",NA,NA,NA,NA
"NA.8",NA,NA,NA,NA
"NA.9",NA,NA,NA,NA
"180",1071,1,1,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)"
"NA.10",NA,NA,NA,NA
"NA.11",NA,NA,NA,NA
"NA.12",NA,NA,NA,NA
"214",1105,1,2,"Howard, Mrs. Benjamin (Ellen Truelove Arman)"
"NA.13",NA,NA,NA,NA
"219",1110,1,1,"Widener, Mrs. George Dunton (Eleanor Elkins)"
"225",1116,1,1,"Candee, Mrs. Edward (Helen Churchill Hungerford)"
"NA.14",NA,NA,NA,NA
"NA.15",NA,NA,NA,NA
"241",1132,1,1,"Lindstrom, Mrs. Carl Johan (Sigrid Posse)"
"NA.16",NA,NA,NA,NA
"NA.17",NA,NA,NA,NA
"NA.18",NA,NA,NA,NA
"NA.19",NA,NA,NA,NA
"NA.20",NA,NA,NA,NA
"306",1197,1,1,"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)"
"315",1206,1,1,"White, Mrs. John Stuart (Ella Holmes)"
"344",1235,1,1,"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)"
"357",1248,1,1,"Brown, Mrs. John Murray (Caroline Lane Lamson)"
"NA.21",NA,NA,NA,NA
"375",1266,1,1,"Dodge, Mrs. Washington (Ruth Vidaver)"
"NA.22",NA,NA,NA,NA
"392",1283,1,1,"Lines, Mrs. Ernest H (Elizabeth Lindsey James)"
"NA.23",NA,NA,NA,NA
"NA.24",NA,NA,NA,NA
